DeviceExample.ino
A simple demonstration of TinyGPS++ with an attached GPS module
Testing TinyGPS++ library v. 1.0.2
by Mikal Hart

Lat(deg),Lng(deg),HDOP,Date,Time,Speed(km/h),Course(deg)
-33.957687,18.463182,100,1/17/2019,10:43:00.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:01.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:02.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:03.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:04.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:05.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:06.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:07.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:08.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:09.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:10.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:10.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:11.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:11.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:12.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:12.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:13.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:13.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:14.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:14.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:15.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:15.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:16.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:16.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:17.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:17.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:18.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:18.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:19.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:19.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:20.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:20.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:21.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:21.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:22.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:22.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:23.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:23.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:24.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:24.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:25.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:25.00,0.00,0.00
